fitness_func,selection,xo,xo_prob,mutation,mut_prob,run,generation,fitness,final nutrients diff,food variety,Additional info,pop
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,92,13015.8,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,93,12693.8,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,94,12632.4,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,95,12479.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,96,12479.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,97,12100.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,98,11577.6,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,99,11446.2,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,100,11390.0,"[9238.600000000002, 317351.0, 3003.2999999999993, 108022.0, 44531.799999999996, 7759.800000000001, 7005.100000000001, 74277.0, 472603.0]",71.0,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,1,57630.5,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,2,52737.6,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,3,47486.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,4,43431.0,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,5,38242.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,6,36900.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,7,36628.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,8,36157.6,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,9,35508.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,10,34234.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,11,33991.5,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,12,33577.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,13,32687.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,14,31954.1,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,15,31954.1,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,16,31954.1,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,17,31172.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,18,31172.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,19,31172.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,20,30646.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,21,30437.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,22,30437.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,23,30437.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,24,30094.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,25,29626.1,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,26,29626.1,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,27,29378.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,28,29378.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,29,29378.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,30,29052.1,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,31,28580.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,32,28580.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,33,28329.4,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,34,28329.4,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,35,28329.4,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,36,28074.6,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,37,28074.6,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,38,27933.0,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,39,27744.0,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,40,27625.5,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,41,27625.5,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,42,27589.8,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,43,27353.2,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,2,44,26741.4,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
